i,j,x_m,y_m,wall_distance_m
2,116,4.19332443,1.01836371,4.02438051
2,117,4.65539872,0.897213273,4.44694893
2,118,5.15775145,0.739841772,4.91388751
2,119,5.70253118,0.542632928,5.42985516
2,120,6.29223643,0.301926673,6
3,0,0.299589609,0.000435560555,0
3,1,0.299590159,0.00043946496,3.9429525e-06
3,2,0.299590769,0.000443778918,8.29991945e-06
3,3,0.299591447,0.00044854552,1.31143728e-05
3,4,0.299592197,0.000453812305,1.84343492e-05
3,5,0.299593028,0.000459631785,2.43129291e-05
3,6,0.29959395,0.00046606197,3.08087665e-05
3,7,0.29959497,0.000473166956,3.79866741e-05
3,8,0.299596101,0.000481017558,4.59182701e-05
3,9,0.299597354,0.000489692021,5.46826925e-05
3,10,0.299598741,0.000499276794,6.43673892e-05
3,11,0.299600279,0.000509867393,7.50689899e-05
3,12,0.299601982,0.000521569355,8.68942707e-05
3,13,0.29960387,0.000534499281,9.99612193e-05
3,14,0.299605961,0.000548786002,0.000114400212
3,15,0.299608279,0.000564571857,0.000130355316
3,16,0.299610849,0.000582014113,0.000147985723
3,17,0.299613696,0.000601286522,0.000167467342
3,18,0.299616853,0.000622581056,0.000188994554
3,19,0.299620354,0.000646109809,0.000212782147
3,20,0.299624235,0.000672107109,0.000239067464
3,21,0.299628539,0.000700831843,0.000268112769
3,22,0.299633314,0.00073257003,0.000300207864
3,23,0.29963861,0.00076763766,0.000335672979
3,24,0.299644487,0.000806383834,0.000374861972
3,25,0.299651008,0.000849194224,0.000418165853
3,26,0.299658246,0.000896494903,0.00046601669
3,27,0.299666281,0.000948756567,0.000518891919
3,28,0.299675203,0.00100649921,0.000577319106
3,29,0.299685112,0.00107029725,0.000641881213
3,30,0.299696118,0.00114078527,0.000713222415
3,31,0.299708348,0.00121866425,0.000792054522
3,32,0.299721939,0.00130470853,0.00087916409
3,33,0.299737047,0.00139977346,0.00097542026
3,34,0.299753847,0.00150480387,0.00108178344
3,35,0.299772532,0.00162084338,0.00119931487
3,36,0.299793319,0.00174904473,0.00132918723
3,37,0.299816454,0.00189068113,0.00147269633
3,38,0.299842207,0.00204715883,0.00163127405
3,39,0.299870886,0.00222003096,0.00180650262
3,40,0.299902834,0.00241101285,0.00200013037
3,41,0.299938434,0.00262199882,0.00221408926
3,42,0.29997812,0.00285508087,0.00245051408
3,43,0.300022376,0.00311256918,0.00271176376
3,44,0.300071749,0.0033970147,0.00300044496
3,45,0.300126852,0.00371123421,0.003319438
3,46,0.300188377,0.00405833776,0.00367192568
3,47,0.300257101,0.00444175907,0.00406142495
3,48,0.300333902,0.00486528896,0.00449182209
3,49,0.300419768,0.00533311222,0.00496741141
3,50,0.300515815,0.00584984823,0.00549293814
3,51,0.300623305,0.00642059565,0.00607364577
3,52,0.300743662,0.00705098171,0.00671532836
3,53,0.300878496,0.0077472164,0.00742438834
3,54,0.301029633,0.00851615215,0.00820790041
3,55,0.301199136,0.00936534943,0.00907368213
3,56,0.301389348,0.0103031489,0.0100303719
