x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
0.25989,-0.6324,83.245,28.445,87.971,0.1633,288.156,291.592,0.2585,0.03
0.26711,-0.6324,83.299,28.375,88.0,0.1627,288.153,291.592,0.2586,0.02
0.27433,-0.6324,83.355,28.307,88.03,0.1621,288.151,291.591,0.2587,0.02
0.28155,-0.6324,83.411,28.24,88.062,0.1615,288.148,291.591,0.2588,0.01
0.28877,-0.6324,83.468,28.175,88.096,0.1608,288.145,291.591,0.2589,0.01
0.29599,-0.6324,83.527,28.112,88.131,0.1601,288.142,291.59,0.259,0.01
0.30321,-0.6324,83.587,28.05,88.168,0.1594,288.139,291.59,0.2591,0.0
0.31042,-0.6324,83.647,27.99,88.206,0.1586,288.135,291.59,0.2592,-0.0
0.31764,-0.6324,83.709,27.931,88.246,0.1578,288.132,291.589,0.2593,-0.01
0.32486,-0.6324,83.771,27.874,88.287,0.157,288.128,291.589,0.2595,-0.01
0.33208,-0.6324,83.834,27.819,88.329,0.1561,288.124,291.589,0.2596,-0.01
0.3393,-0.6324,83.898,27.766,88.373,0.1553,288.121,291.588,0.2597,-0.02
0.34652,-0.6324,83.962,27.714,88.418,0.1544,288.117,291.588,0.2598,-0.02
0.35374,-0.6324,84.028,27.665,88.464,0.1534,288.113,291.587,0.26,-0.03
0.36096,-0.6324,84.093,27.616,88.512,0.1525,288.108,291.587,0.2601,-0.03
0.36818,-0.6324,84.159,27.57,88.56,0.1515,288.104,291.586,0.2603,-0.03
0.3754,-0.6324,84.226,27.525,88.609,0.1505,288.1,291.586,0.2604,-0.04
0.38262,-0.6324,84.293,27.483,88.66,0.1495,288.095,291.585,0.2606,-0.04
0.38984,-0.6324,84.36,27.441,88.711,0.1485,288.091,291.585,0.2607,-0.05
0.39705,-0.6324,84.427,27.402,88.763,0.1474,288.086,291.584,0.2609,-0.05
0.40427,-0.6324,84.495,27.364,88.815,0.1464,288.082,291.584,0.261,-0.05
0.41149,-0.6324,84.563,27.328,88.869,0.1453,288.077,291.583,0.2612,-0.06
0.41871,-0.6324,84.631,27.294,88.923,0.1442,288.072,291.583,0.2613,-0.06
0.42593,-0.6324,84.698,27.261,88.978,0.1431,288.067,291.582,0.2615,-0.06
0.43315,-0.6324,84.766,27.231,89.033,0.142,288.062,291.582,0.2617,-0.07
0.44037,-0.6324,84.834,27.201,89.088,0.1409,288.057,291.581,0.2618,-0.07
0.44759,-0.6324,84.902,27.174,89.144,0.1397,288.052,291.581,0.262,-0.07
0.45481,-0.6324,84.969,27.147,89.201,0.1386,288.047,291.58,0.2622,-0.08
0.46203,-0.6324,85.037,27.123,89.257,0.1374,288.042,291.58,0.2623,-0.08
0.46925,-0.6324,85.104,27.1,89.314,0.1363,288.037,291.579,0.2625,-0.08
0.47647,-0.6324,85.17,27.079,89.371,0.1351,288.032,291.579,0.2627,-0.08
0.48368,-0.6324,85.237,27.059,89.429,0.134,288.027,291.578,0.2629,-0.09
0.4909,-0.6324,85.303,27.04,89.486,0.1328,288.022,291.578,0.263,-0.09
0.49812,-0.6324,85.369,27.023,89.543,0.1316,288.017,291.577,0.2632,-0.09
0.50534,-0.6324,85.434,27.007,89.601,0.1305,288.012,291.576,0.2634,-0.09
0.51256,-0.6324,85.498,26.993,89.658,0.1293,288.007,291.576,0.2635,-0.09
0.51978,-0.6324,85.563,26.98,89.716,0.1281,288.002,291.575,0.2637,-0.09
0.527,-0.6324,85.626,26.968,89.773,0.127,287.996,291.575,0.2639,-0.1
0.53422,-0.6324,85.689,26.958,89.83,0.1258,287.991,291.574,0.2641,-0.1
0.54144,-0.6324,85.752,26.949,89.887,0.1246,287.986,291.574,0.2642,-0.1
0.54866,-0.6324,85.814,26.941,89.943,0.1235,287.981,291.573,0.2644,-0.1
0.55588,-0.6324,85.875,26.934,89.999,0.1223,287.976,291.573,0.2646,-0.1
0.5631,-0.6324,85.935,26.928,90.055,0.1212,287.971,291.572,0.2647,-0.1
0.57032,-0.6324,85.995,26.923,90.111,0.1201,287.966,291.571,0.2649,-0.1
0.57753,-0.6324,86.054,26.919,90.166,0.1189,287.961,291.571,0.2651,-0.1
0.58475,-0.6324,86.113,26.917,90.221,0.1178,287.956,291.57,0.2652,-0.1
0.59197,-0.6324,86.17,26.915,90.276,0.1167,287.951,291.57,0.2654,-0.1
0.59919,-0.6324,86.227,26.914,90.33,0.1156,287.947,291.569,0.2655,-0.1
0.60641,-0.6324,86.283,26.914,90.384,0.1145,287.942,291.569,0.2657,-0.1
0.61363,-0.6324,86.339,26.915,90.437,0.1134,287.937,291.568,0.2659,-0.1
0.62085,-0.6324,86.393,26.917,90.489,0.1123,287.932,291.568,0.266,-0.1
0.62807,-0.6324,86.447,26.92,90.541,0.1112,287.927,291.567,0.2662,-0.1
0.63529,-0.6324,86.5,26.923,90.593,0.1102,287.923,291.567,0.2663,-0.1
0.64251,-0.6324,86.552,26.927,90.644,0.1091,287.918,291.566,0.2665,-0.1
0.64973,-0.6324,86.604,26.932,90.695,0.1081,287.914,291.566,0.2666,-0.1
0.65695,-0.6324,86.654,26.937,90.745,0.1071,287.909,291.565,0.2668,-0.1
0.66416,-0.6324,86.704,26.943,90.794,0.106,287.905,291.565,0.2669,-0.1
0.67138,-0.6324,86.753,26.95,90.843,0.105,287.9,291.564,0.2671,-0.1
0.6786,-0.6324,86.801,26.957,90.891,0.104,287.896,291.564,0.2672,-0.1
0.68582,-0.6324,86.849,26.964,90.938,0.1031,287.892,291.563,0.2674,-0.09
0.69304,-0.6324,86.896,26.972,90.985,0.1021,287.887,291.563,0.2675,-0.09
0.70026,-0.6324,86.941,26.981,91.032,0.1011,287.883,291.563,0.2676,-0.09
0.70748,-0.6324,86.987,26.99,91.077,0.1002,287.879,291.562,0.2678,-0.09
0.7147,-0.6324,87.031,26.999,91.123,0.0992,287.875,291.562,0.2679,-0.09
0.72192,-0.6324,87.074,27.009,91.167,0.0983,287.871,291.561,0.268,-0.09
0.72914,-0.6324,87.117,27.019,91.211,0.0974,287.867,291.561,0.2682,-0.09
0.73636,-0.6324,87.159,27.03,91.254,0.0965,287.863,291.56,0.2683,-0.09
0.74358,-0.6324,87.201,27.041,91.297,0.0956,287.859,291.56,0.2684,-0.08
0.75079,-0.6324,87.241,27.052,91.339,0.0948,287.855,291.56,0.2686,-0.08
0.75801,-0.6324,87.281,27.063,91.381,0.0939,287.851,291.559,0.2687,-0.08
0.76523,-0.6324,87.32,27.075,91.422,0.0931,287.848,291.559,0.2688,-0.08
0.77245,-0.6324,87.359,27.086,91.462,0.0922,287.844,291.558,0.2689,-0.08
0.77967,-0.6324,87.397,27.099,91.502,0.0914,287.84,291.558,0.269,-0.08
0.78689,-0.6324,87.434,27.111,91.541,0.0906,287.837,291.558,0.2692,-0.08
0.79411,-0.6324,87.471,27.123,91.579,0.0898,287.833,291.557,0.2693,-0.07
0.80133,-0.6324,87.506,27.136,91.617,0.089,287.83,291.557,0.2694,-0.07
0.80855,-0.6324,87.542,27.149,91.655,0.0882,287.827,291.556,0.2695,-0.07
0.81577,-0.6324,87.576,27.161,91.692,0.0874,287.823,291.556,0.2696,-0.07
0.82299,-0.6324,87.61,27.174,91.728,0.0867,287.82,291.556,0.2697,-0.07
0.83021,-0.6324,87.644,27.188,91.764,0.0859,287.817,291.555,0.2698,-0.07
0.83742,-0.6324,87.676,27.201,91.799,0.0852,287.813,291.555,0.2699,-0.07
0.84464,-0.6324,87.709,27.214,91.834,0.0845,287.81,291.555,0.27,-0.06
0.85186,-0.6324,87.74,27.227,91.868,0.0838,287.807,291.554,0.2701,-0.06
0.85908,-0.6324,87.772,27.241,91.902,0.0831,287.804,291.554,0.2702,-0.06
0.8663,-0.6324,87.802,27.254,91.935,0.0824,287.801,291.554,0.2703,-0.06
0.87352,-0.6324,87.832,27.268,91.968,0.0817,287.798,291.553,0.2704,-0.06
0.88074,-0.6324,87.862,27.281,92.0,0.081,287.795,291.553,0.2705,-0.06
0.88796,-0.6324,87.891,27.295,92.032,0.0804,287.792,291.553,0.2706,-0.06
0.89518,-0.6324,87.919,27.308,92.063,0.0797,287.789,291.552,0.2707,-0.05
0.9024,-0.6324,87.947,27.322,92.094,0.0791,287.786,291.552,0.2708,-0.05
0.90962,-0.6324,87.975,27.335,92.124,0.0784,287.784,291.552,0.2709,-0.05
0.91684,-0.6324,88.002,27.349,92.154,0.0778,287.781,291.551,0.271,-0.05
0.92405,-0.6324,88.029,27.363,92.184,0.0772,287.778,291.551,0.2711,-0.05
0.93127,-0.6324,88.055,27.376,92.213,0.0766,287.775,291.551,0.2712,-0.05
0.93849,-0.6324,88.081,27.39,92.241,0.076,287.773,291.551,0.2712,-0.05
0.94571,-0.6324,88.106,27.403,92.27,0.0754,287.77,291.55,0.2713,-0.05
0.95293,-0.6324,88.131,27.417,92.297,0.0748,287.768,291.55,0.2714,-0.05
