x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
0.51978,-0.6324,83.399,21.415,86.104,0.178,288.299,291.606,0.253,-0.01
0.527,-0.6324,83.464,21.376,86.158,0.177,288.294,291.606,0.2531,-0.01
0.53422,-0.6324,83.53,21.338,86.212,0.1759,288.29,291.605,0.2533,-0.02
0.54144,-0.6324,83.596,21.301,86.267,0.1749,288.285,291.605,0.2534,-0.02
0.54866,-0.6324,83.661,21.265,86.321,0.1738,288.28,291.604,0.2536,-0.02
0.55588,-0.6324,83.727,21.23,86.376,0.1728,288.276,291.604,0.2538,-0.02
0.5631,-0.6324,83.792,21.196,86.432,0.1717,288.271,291.603,0.2539,-0.02
0.57032,-0.6324,83.857,21.164,86.487,0.1707,288.266,291.603,0.2541,-0.02
0.57753,-0.6324,83.923,21.133,86.542,0.1696,288.261,291.602,0.2543,-0.02
0.58475,-0.6324,83.988,21.102,86.598,0.1685,288.257,291.602,0.2544,-0.02
0.59197,-0.6324,84.053,21.073,86.654,0.1675,288.252,291.601,0.2546,-0.02
0.59919,-0.6324,84.117,21.045,86.71,0.1664,288.247,291.601,0.2548,-0.03
0.60641,-0.6324,84.182,21.018,86.766,0.1653,288.242,291.6,0.2549,-0.03
0.61363,-0.6324,84.246,20.992,86.822,0.1642,288.237,291.6,0.2551,-0.03
0.62085,-0.6324,84.31,20.968,86.878,0.1631,288.232,291.599,0.2553,-0.03
0.62807,-0.6324,84.374,20.944,86.935,0.1621,288.227,291.599,0.2554,-0.03
0.63529,-0.6324,84.438,20.921,86.991,0.161,288.223,291.598,0.2556,-0.03
0.64251,-0.6324,84.501,20.899,87.047,0.1599,288.218,291.598,0.2558,-0.03
0.64973,-0.6324,84.564,20.878,87.103,0.1588,288.213,291.597,0.2559,-0.03
0.65695,-0.6324,84.627,20.858,87.159,0.1577,288.208,291.597,0.2561,-0.03
0.66416,-0.6324,84.689,20.839,87.216,0.1566,288.203,291.596,0.2563,-0.03
0.67138,-0.6324,84.752,20.821,87.272,0.1556,288.198,291.596,0.2564,-0.03
0.6786,-0.6324,84.813,20.803,87.327,0.1545,288.193,291.595,0.2566,-0.03
0.68582,-0.6324,84.875,20.787,87.383,0.1534,288.189,291.595,0.2568,-0.03
0.69304,-0.6324,84.936,20.771,87.439,0.1523,288.184,291.594,0.2569,-0.03
0.70026,-0.6324,84.997,20.757,87.494,0.1512,288.179,291.594,0.2571,-0.03
0.70748,-0.6324,85.057,20.743,87.55,0.1502,288.174,291.593,0.2573,-0.03
0.7147,-0.6324,85.117,20.73,87.605,0.1491,288.169,291.593,0.2574,-0.03
0.72192,-0.6324,85.177,20.718,87.66,0.148,288.164,291.592,0.2576,-0.03
0.72914,-0.6324,85.236,20.706,87.715,0.147,288.16,291.592,0.2578,-0.03
0.73636,-0.6324,85.295,20.695,87.769,0.1459,288.155,291.591,0.2579,-0.03
0.74358,-0.6324,85.353,20.685,87.824,0.1448,288.15,291.591,0.2581,-0.03
0.75079,-0.6324,85.411,20.676,87.878,0.1438,288.145,291.59,0.2582,-0.03
0.75801,-0.6324,85.469,20.668,87.932,0.1427,288.141,291.59,0.2584,-0.04
0.76523,-0.6324,85.526,20.66,87.986,0.1417,288.136,291.589,0.2586,-0.04
0.77245,-0.6324,85.582,20.653,88.039,0.1406,288.131,291.589,0.2587,-0.04
0.77967,-0.6324,85.639,20.646,88.092,0.1396,288.127,291.588,0.2589,-0.04
0.78689,-0.6324,85.694,20.64,88.145,0.1386,288.122,291.588,0.259,-0.04
0.79411,-0.6324,85.75,20.635,88.198,0.1375,288.117,291.587,0.2592,-0.04
0.80133,-0.6324,85.805,20.631,88.25,0.1365,288.113,291.587,0.2594,-0.04
0.80855,-0.6324,85.859,20.627,88.302,0.1355,288.108,291.586,0.2595,-0.04
0.81577,-0.6324,85.913,20.623,88.354,0.1345,288.104,291.586,0.2597,-0.04
0.82299,-0.6324,85.967,20.62,88.405,0.1335,288.099,291.585,0.2598,-0.04
0.83021,-0.6324,86.02,20.618,88.456,0.1325,288.095,291.585,0.26,-0.04
0.83742,-0.6324,86.072,20.617,88.507,0.1315,288.09,291.584,0.2601,-0.04
0.84464,-0.6324,86.125,20.615,88.558,0.1305,288.086,291.584,0.2603,-0.04
0.85186,-0.6324,86.176,20.615,88.608,0.1295,288.081,291.584,0.2604,-0.04
0.85908,-0.6324,86.228,20.615,88.658,0.1285,288.077,291.583,0.2606,-0.03
0.8663,-0.6324,86.278,20.615,88.707,0.1275,288.073,291.583,0.2607,-0.03
0.87352,-0.6324,86.329,20.616,88.756,0.1266,288.068,291.582,0.2609,-0.03
0.88074,-0.6324,86.378,20.617,88.805,0.1256,288.064,291.582,0.261,-0.03
0.88796,-0.6324,86.428,20.619,88.853,0.1247,288.06,291.581,0.2611,-0.03
0.89518,-0.6324,86.477,20.622,88.901,0.1237,288.055,291.581,0.2613,-0.03
0.9024,-0.6324,86.525,20.624,88.949,0.1228,288.051,291.58,0.2614,-0.03
0.90962,-0.6324,86.573,20.627,88.996,0.1218,288.047,291.58,0.2616,-0.03
