node_id,x_over_c,y_over_c,x_m,y_m
65,0.650745,0.041258,0.195224,0.012377
66,0.641297,0.042103,0.192389,0.012631
67,0.631794,0.042939,0.189538,0.012882
68,0.622239,0.043766,0.186672,0.01313
69,0.612636,0.044582,0.183791,0.013375
70,0.602989,0.045387,0.180897,0.013616
71,0.593302,0.04618,0.177991,0.013854
72,0.583579,0.04696,0.175074,0.014088
73,0.573823,0.047726,0.172147,0.014318
74,0.564039,0.048477,0.169212,0.014543
75,0.554229,0.049213,0.166269,0.014764
76,0.544398,0.049932,0.163319,0.01498
77,0.53455,0.050634,0.160365,0.01519
78,0.524688,0.051317,0.157406,0.015395
79,0.514817,0.051981,0.154445,0.015594
80,0.50494,0.052626,0.151482,0.015788
81,0.49506,0.053249,0.148518,0.015975
82,0.485183,0.053851,0.145555,0.016155
83,0.475312,0.05443,0.142594,0.016329
84,0.46545,0.054985,0.139635,0.016496
85,0.455602,0.055516,0.136681,0.016655
86,0.445771,0.056022,0.133731,0.016807
87,0.435961,0.056501,0.130788,0.01695
88,0.426177,0.056954,0.127853,0.017086
89,0.416421,0.057378,0.124926,0.017213
90,0.406698,0.057774,0.122009,0.017332
91,0.397011,0.05814,0.119103,0.017442
92,0.387364,0.058476,0.116209,0.017543
93,0.377761,0.058781,0.113328,0.017634
94,0.368206,0.059054,0.110462,0.017716
95,0.358703,0.059294,0.107611,0.017788
96,0.349255,0.059501,0.104776,0.01785
97,0.339865,0.059675,0.10196,0.017902
98,0.330538,0.059813,0.099161,0.017944
99,0.321277,0.059916,0.096383,0.017975
100,0.312086,0.059984,0.093626,0.017995
101,0.302969,0.060015,0.090891,0.018005
102,0.293928,0.060009,0.088178,0.018003
103,0.284967,0.059966,0.08549,0.01799
104,0.276091,0.059885,0.082827,0.017966
105,0.267302,0.059766,0.080191,0.01793
106,0.258604,0.059609,0.077581,0.017883
107,0.25,0.059412,0.075,0.017824
108,0.241494,0.059177,0.072448,0.017753
109,0.233088,0.058902,0.069926,0.017671
110,0.224787,0.058588,0.067436,0.017576
111,0.216593,0.058234,0.064978,0.01747
112,0.20851,0.05784,0.062553,0.017352
